sensorID,status,
19,99.9998071,
26,,
22,,
29,,
25,,
28,,
24,,
39,,
38,,
37,,
35,,
33,,
32,,
31,,
34,,
1,,
8,,
43,,
42,,
15,,
44,,
144,,
130,,
98,96.36217633,
152,,
10,,
114,,
123,,
139,,
166,,
184,95.83314847,
87,,
102,,
93,,
132,,
121,,
58,,
179,,
169,,
107,,
171,,
174,,
89,,
176,,
164,,
154,99.9994213,
133,,
145,100.0003858,
167,97.91534451,
181,99.9994213,
173,,
178,99.99845681,
135,,
158,,
170,,
168,,
153,,
159,99.99768524,
90,99.36459162,
88,92.91041887,
186,,
187,,
180,,
188,99.9998071,
161,,
13,,
14,,
189,99.9990355,
193,99.99884261,
194,99.30478931,
195,99.99864971,
191,99.30574712,
192,99.9996142,
296,780.2763479,Sensor has readings more frequent than once per hour. Check readings table.
155,98.61187201,
267,99.9994213,
276,99.99822698,
283,83.59817604,
287,,
172,,
285,100,
271,99.99845681,
292,99.9992284,
11,99.99754908,
160,96.54845077,
274,99.9998071,
228,99.9996142,
284,,
268,98.61130133,
214,90.37037037,
282,42.85835766,
27,99.9996142,
190,99.9942133,
85,94.44395862,
288,99.99945534,
273,76.59438662,
275,,
201,99.30651337,
277,99.30498087,
21,,
136,,
67,,
